Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Sitarz Andrzej,4f3272cc19836c91c7d8d4a3,284,39.98268,-75.10199,Food
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Rick Heating & Cooling Philadelphia,5a3650f09deb7d7dbc3c163a,288,39.982202,-75.102518,Business Service
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Syrenka Luncheonette,4f3256bb19836c91c7cdf6d4,294,39.983002,-75.1017,Food
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Tweed Video Productions,537bfe67498e81df80c05c8a,296,39.982938,-75.101831,Entertainment Service
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,The Cove,4c09ea50340720a1f4b28593,299,39.983014000000004,-75.10177900000001,Dance Studio
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Breathing Room,5178891ae4b0dc2ea1d527de,309,39.982867,-75.10216199999999,Yoga Studio
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,No. 1 Cafe,4c26bbc1905a0f47d8e66360,308,39.98313313358634,-75.10174612270542,Chinese Restaurant
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,The Pizza Store,4c197aec4ff90f478a181049,336,39.98339601134206,-75.10182595536213,Pizza Place
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Patriot Rolling Gates,5a40bc867dc9e11be2aaef14,349,39.983618,-75.10164,Home Service
Bridesburg-Kensington-Port Richmond,39.98090000000008,-75.09959999999995,Marinucci's Deli,5bdc7aeba4b51b002cabc530,352,39.982264,-75.10333,Deli / Bodega
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Gorgas Park,4b93da48f964a520405534e3,242,40.03681511027442,-75.22068500518799,Playground
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Wawa,4b7cbd18f964a52098a32fe3,292,40.040592,-75.223555,Convenience Store
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,CVS pharmacy,4d8b9d5e0c4e41bd85a6667f,306,40.04065661425741,-75.22396879920886,Pharmacy
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Redbox,4e31c42f2fb6ede816e34c28,274,40.040248,-75.224379,Video Store
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Daiva's Diner,4f8ae70ee4b0ab5c894012e1,432,40.04136374597829,-75.22559559017252,Diner
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,mudflats baseball field,519d61b9498e7aea75ed3eea,169,40.03649351423397,-75.22342687390613,Baseball Field
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Roman's Pizza,4c69fa2b3bad2d7f9e6db1ee,149,40.039315,-75.223392,Pizza Place
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Lucky Garden,4c5f404513791b8dab0a4daf,198,40.039715,-75.223668,Chinese Restaurant
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,Fountain Street Auto,4c1f84158b3aa593438f9d5f,80,40.038684,-75.22280400000001,Automotive Shop
Roxborough-Manayunk,40.037990000000036,-75.22307999999998,"Van Buskirk, Michael",5ced9361a5a315002c060b0f,37,40.038296,-75.223275,Lawyer
